Samples,Time,Feature,Prob
1000000,0,0,0.469989781000000
1000000,0,1,0.017329256000000
1000000,0,2,0.006212576000000
1000000,0,3,0.003365964000000
1000000,0,4,0.002242238000000
1000000,0,5,0.002594794000000
1000000,0,6,0.005041904000000
1000000,0,7,0.022357581000000
1000000,0,8,0.470865906000000
1000000,1,0,0.019434393000000
1000000,1,1,0.439726727000000
1000000,1,2,0.027619153000000
1000000,1,3,0.007924682000000
1000000,1,4,0.006272100000000
1000000,1,5,0.006459908000000
1000000,1,6,0.026464957000000
1000000,1,7,0.443099036000000
1000000,1,8,0.022999044000000
1000000,2,0,0.004456760000000
1000000,2,1,0.032304038000000
1000000,2,2,0.426511355000000
1000000,2,3,0.029196451000000
1000000,2,4,0.014133903000000
1000000,2,5,0.035041944000000
1000000,2,6,0.425939110000000
1000000,2,7,0.027394553000000
1000000,2,8,0.005021886000000
1000000,3,0,0.003255616000000
1000000,3,1,0.007463735000000
1000000,3,2,0.029825176000000
1000000,3,3,0.429920941000000
1000000,3,4,0.057758555000000
1000000,3,5,0.424383134000000
1000000,3,6,0.038239166000000
1000000,3,7,0.006694120000000
1000000,3,8,0.002459557000000
1000000,4,0,0.002259696000000
1000000,4,1,0.005391638000000
1000000,4,2,0.014770968000000
1000000,4,3,0.058157486000000
1000000,4,4,0.837938961000000
1000000,4,5,0.061634480000000
1000000,4,6,0.012116350000000
1000000,4,7,0.005774108000000
1000000,4,8,0.001956313000000
1000000,5,0,0.001967509000000
1000000,5,1,0.006260387000000
1000000,5,2,0.033204297000000
1000000,5,3,0.426741603000000
1000000,5,4,0.063646282000000
1000000,5,5,0.433392589000000
1000000,5,6,0.025088429000000
1000000,5,7,0.006933716000000
1000000,5,8,0.002765188000000
1000000,6,0,0.004360051000000
1000000,6,1,0.028522515000000
1000000,6,2,0.425781898000000
1000000,6,3,0.037145422000000
1000000,6,4,0.011620881000000
1000000,6,5,0.029105113000000
1000000,6,6,0.438248045000000
1000000,6,7,0.021568058000000
1000000,6,8,0.003648017000000
1000000,7,0,0.019123650000000
1000000,7,1,0.442106669000000
1000000,7,2,0.032585338000000
1000000,7,3,0.005872279000000
1000000,7,4,0.005072628000000
1000000,7,5,0.005744062000000
1000000,7,6,0.025242793000000
1000000,7,7,0.445402032000000
1000000,7,8,0.018850549000000
1000000,8,0,0.475152544000000
1000000,8,1,0.020895035000000
1000000,8,2,0.003489239000000
1000000,8,3,0.001675172000000
1000000,8,4,0.001314452000000
1000000,8,5,0.001643976000000
1000000,8,6,0.003619246000000
1000000,8,7,0.020776796000000
1000000,8,8,0.471433540000000
